geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0015979	photosynthesis	http://amigo.geneontology.org/amigo/term/GO:0015979	222	40	5.3568707137414275	7.467045993361783	0	0	815055;815058;816545;818005;818622;820043;820859;823901;824246;824654;824861;825320;825866;826626;826892;827996;828183;828853;828996;830325;831207;833828;835515;836525;836751;836789;837178;837848;838151;839869;839871;839918;840098;840895;841033;841653;842016;842446;843788;844245
GO:0018298	protein-chromophore linkage	http://amigo.geneontology.org/amigo/term/GO:0018298	40	14	0.9652019304038608	14.504736842105263	2.183808689437683e-13	3.930855640987829e-11	815055;815058;818005;820043;823901;824654;825320;826626;830325;835515;838151;839869;839871;842446
GO:0006091	generation of precursor metabolites and energy	http://amigo.geneontology.org/amigo/term/GO:0006091	416	35	10.038100076200154	3.486715587044534	9.710798831719103e-11	1.1652958598062924e-8	815055;815058;815364;815371;815374;815400;818005;819088;820043;821806;823901;824077;824246;824654;825320;825866;826626;827996;829043;830325;832145;832275;835179;835515;836751;836789;837178;838151;839869;839871;840201;842016;842446;843942;844245
GO:0042044	fluid transport	http://amigo.geneontology.org/amigo/term/GO:0042044	34	11	0.8204216408432817	13.407739938080494	2.3285906536330003e-10	2.0957315882697003e-8	818255;818293;819204;820870;822259;824510;827446;827956;838359;839235;843653
GO:0009409	response to cold	http://amigo.geneontology.org/amigo/term/GO:0009409	369	29	8.903987807975616	3.256967622307802	2.0506069731140997e-8	1.4764370206421518e-6	815055;815058;817205;818395;818558;818622;820893;820895;821806;823901;824654;825320;827773;827931;830332;832145;832185;837028;837286;838259;838651;838674;839341;839395;840098;840895;842446;842944;844130
GO:0009636	response to toxic substance	http://amigo.geneontology.org/amigo/term/GO:0009636	299	25	7.21488442976886	3.4650589684914626	6.171314081981905e-8	3.7027884491891427e-6	814822;818622;818746;821314;823067;824158;824802;826480;826616;827931;828613;830424;831798;835179;835515;837028;837576;838288;838289;838651;841687;843329;843771;844045;844174
GO:0009642	response to light intensity	http://amigo.geneontology.org/amigo/term/GO:0009642	148	17	3.5712471424942853	4.760241820768136	9.796389954797036e-8	5.03814340532419e-6	815055;815058;815247;818709;823901;824246;824654;825320;828613;832145;835515;836789;838739;839300;841687;842446;843771
GO:0009735	response to cytokinin	http://amigo.geneontology.org/amigo/term/GO:0009735	214	18	5.163830327660656	3.4857845548450563	4.246783567030121e-6	1.9110526051635546e-4	815374;816545;818622;820043;820883;823067;827773;828970;828996;830088;832185;833535;838259;840098;841653;842446;842944;844245
GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	175	16	4.222758445516892	3.788992481203007	5.04206942375518e-6	2.016827769502072e-4	818746;818960;819886;821314;822361;823067;824158;824485;826480;831330;833613;835224;837028;838651;843100;844045
GO:1901136	carbohydrate derivative catabolic process	http://amigo.geneontology.org/amigo/term/GO:1901136	65	9	1.568453136906274	5.738137651821861	2.390665482576715e-5	8.606395737276173e-4	817869;818960;819053;820888;821691;821964;825184;832667;842944
GO:0072593	reactive oxygen species metabolic process	http://amigo.geneontology.org/amigo/term/GO:0072593	145	13	3.498856997713996	3.715499092558983	4.8060826753903996e-5	0.001463711223829156	815055;815058;818746;821314;823067;824158;824802;826480;828613;836372;837028;838651;844045
GO:0019748	secondary metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019748	280	19	6.756413512827026	2.812142857142857	4.8790374127638536e-5	0.001463711223829156	814822;816831;817869;819053;820888;821691;825184;827931;829551;830088;832145;832667;835504;837576;838288;838289;842944;843329;844174
GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	393	23	9.483108966217934	2.42536493906522	8.030783762391636e-5	0.0022239093495853763	815374;818588;818622;818708;818746;821314;823067;824158;824802;826480;826616;828273;828613;830424;832145;835656;837028;838483;838651;841687;843771;844045;844174
GO:0006790	sulfur compound metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006790	327	19	7.890525781051562	2.4079510703363916	3.6807308931963156e-4	0.009464736582504811	814822;817180;817869;819053;820888;821691;821964;825184;827931;828288;831452;832667;837576;838288;838289;839501;842944;843329;844174
GO:0009637	response to blue light	http://amigo.geneontology.org/amigo/term/GO:0009637	95	9	2.2923545847091695	3.9260941828254845	4.678099154988846e-4	0.011227437971973231	814823;815058;817601;820043;824654;826626;830325;839300;839869
GO:0051187	cofactor catabolic process	http://amigo.geneontology.org/amigo/term/GO:0051187	96	9	2.3164846329692663	3.885197368421052	5.05504830258463e-4	0.011373858680815419	818746;821314;821964;823067;824158;826480;837028;838651;844045
GO:0080167	response to karrikin	http://amigo.geneontology.org/amigo/term/GO:0080167	120	10	2.8956057912115827	3.4535087719298243	6.409908996778402e-4	0.013573924934354262	819053;823901;824401;827996;828511;830699;830765;836342;837576;841033
GO:0006575	cellular modified amino acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006575	112	9	2.7025654051308106	3.3301691729323304	0.001533272276073805	0.030665445521476098	814822;821964;827931;837576;838288;838289;843329;844174;844204
GO:0015977	carbon fixation	http://amigo.geneontology.org/amigo/term/GO:0015977	22	4	0.5308610617221234	7.534928229665072	0.0017226279075961415	0.0326392656176111	833828;837848;840098;840895
