geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0015979	photosynthesis	http://amigo.geneontology.org/amigo/term/GO:0015979	222	62	20.73202946405893	2.990541765700424	8.881784197001252e-16	3.197442310920451e-13	815055;815058;816545;816733;818005;818056;818532;820043;820723;820859;820871;821855;822277;822416;823901;824654;824746;824861;825320;825866;826626;826892;827119;827921;827996;828183;828853;828996;830325;831207;832477;833828;834633;834937;835286;835507;835515;836525;836751;836789;837178;837358;837848;838151;838455;838591;839666;839869;839871;839918;840021;840098;840895;841033;841653;842016;842446;842477;842785;843788;843903;843988
GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	175	53	16.342816018965372	3.2430151534775287	2.9976021664879227e-15	5.395683899678261e-13	816415;817017;817967;818104;818280;818746;818949;818961;818964;819886;820241;821314;822063;822361;823067;824083;824158;824485;824493;824608;826480;826936;827005;827725;828131;828580;829140;829304;829458;829751;830302;830416;831330;831650;832004;832093;833954;834948;835223;835224;836531;836533;836876;837028;837095;837304;837724;838016;838651;839452;839971;840141;843100
GO:0080167	response to karrikin	http://amigo.geneontology.org/amigo/term/GO:0080167	120	39	11.206502413004825	3.480122393472348	1.1991518888976316e-12	1.438982266677158e-10	816133;817329;817599;818280;818586;818596;819386;820591;821027;821189;821479;821855;823601;823641;823901;824401;824440;824493;824678;824919;826983;827996;828811;829891;830062;830409;830589;830765;831568;834910;836101;836562;837576;839111;839933;840250;841033;842477;843450
GO:0009636	response to toxic substance	http://amigo.geneontology.org/amigo/term/GO:0009636	299	64	27.922868512403692	2.292028126392902	1.516673453494377e-10	1.3650061081449394e-8	816415;816639;816751;817017;817155;817493;817498;817499;817715;817771;817967;818252;818746;818949;819386;820264;821314;821584;823067;823942;824158;826480;827220;827912;828276;828994;829140;829304;829751;829915;830416;831650;831798;833954;835179;835515;836531;836533;836626;836876;837028;837252;837304;837576;838016;838288;838289;838366;838651;839295;839515;839603;839971;840148;840454;840476;841687;842280;843027;843328;843329;843771;844169;844173
GO:0006979	response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0006979	393	76	36.7012954025908	2.070771594471705	4.543481146868089e-10	3.271306425745024e-8	815160;816415;817017;817155;817362;817499;817715;817771;817967;818056;818280;818562;818708;818746;818949;819784;820264;821314;821578;822119;822488;822833;823067;823942;824158;824493;824566;824919;825821;826480;826730;827463;827622;828271;828273;828276;828418;828805;828994;829140;829304;829730;829751;829915;830416;831241;831650;832145;833954;834464;835656;835756;836103;836531;836533;836876;837028;837252;837304;838016;838052;838122;838366;838483;838651;838752;839515;839666;839971;840148;840454;840476;841687;842280;843013;843771
GO:0019748	secondary metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019748	280	59	26.148505630344594	2.2563430902732806	1.5173305945026527e-9	9.103983567015916e-8	816828;816830;816831;816832;817083;817493;817498;817599;817869;818260;818280;818995;819019;819052;819386;820209;820887;820888;821479;821678;823557;824493;825183;827912;829178;829435;829551;829891;830018;830088;830302;830416;831568;832145;832311;834444;835028;835504;836210;836533;836802;837576;837953;838288;838289;839077;839295;839515;839603;842281;842479;842775;842814;842944;842945;843328;843329;844169;844173
GO:0005976	polysaccharide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0005976	373	71	34.833545000423335	2.038265126306758	3.512367507951808e-9	1.80636043266093e-7	815247;817814;818259;818412;818562;818779;818961;818964;819886;820241;820683;821182;821245;821955;822063;822361;822594;824083;824485;824608;824746;825048;826706;826936;827005;827051;827185;827438;827725;827905;828080;828580;828686;829150;829151;829152;829381;829458;830833;830847;831402;831596;832042;832093;834475;834948;834996;835223;835224;835860;836213;837095;837698;838037;839030;839385;839452;840109;841047;841315;842035;842108;842747;842839;842872;842961;843054;843100;843408;843450;843902
GO:1901136	carbohydrate derivative catabolic process	http://amigo.geneontology.org/amigo/term/GO:1901136	65	23	6.07018880704428	3.789008996443267	8.115940475228456e-9	3.652173213852805e-7	817869;818752;818961;818964;818995;819052;820887;820888;821964;823557;824608;825183;826597;827725;828131;832004;837068;837095;837724;842281;842944;842945;843207
GO:0009409	response to cold	http://amigo.geneontology.org/amigo/term/GO:0009409	369	68	34.45999491998984	1.9733026704700412	2.9287027247804076e-8	1.171481089912163e-6	815055;815058;816092;817205;817575;818395;818457;818558;819294;819386;819758;820314;820893;820894;820895;820958;821806;821855;821874;822277;823901;824262;824566;824654;825320;827773;828598;828714;829915;829949;829998;830068;830332;830565;832145;832185;834770;835567;835860;836103;836626;836881;837028;837286;837507;838209;838259;838651;839131;839349;839395;839666;840069;840098;840476;840895;840915;842043;842446;842944;842945;843182;843810;843835;843950;844130;844279;3770328
GO:0051187	cofactor catabolic process	http://amigo.geneontology.org/amigo/term/GO:0051187	96	27	8.965201930403861	3.011644378966455	1.100741012782791e-7	3.962667646018048e-6	816415;817017;817967;818746;818949;821314;821964;823067;824158;826480;826798;829140;829304;829751;830416;831650;832691;833954;836531;836533;836876;837028;837304;838016;838554;838651;839971
GO:0018298	protein-chromophore linkage	http://amigo.geneontology.org/amigo/term/GO:0018298	40	16	3.735500804334942	4.283227561196736	2.174318727288238e-7	7.11595219839787e-6	815055;815058;818005;820043;823901;824654;825320;826626;830325;832554;835515;835926;838151;839869;839871;842446
GO:0006022	aminoglycan metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006022	20	11	1.867750402167471	5.8894378966455125	3.412319991014101e-7	1.0236959973042303e-5	818961;818964;822594;824608;827725;828131;831402;833928;837095;837724;839197
