userId	geneSymbol	geneName	entrezgene	gLink
841839	AT1G54010	NA	841839	https://www.ncbi.nlm.nih.gov/gene/?term=841839
820890	NA	PYK10-binding protein 1	820890	https://www.ncbi.nlm.nih.gov/gene/?term=820890
843288	EXPA1	expansin A1	843288	https://www.ncbi.nlm.nih.gov/gene/?term=843288
818884	PDF1	protodermal factor 1	818884	https://www.ncbi.nlm.nih.gov/gene/?term=818884
818435	LTP2	lipid transfer protein 2	818435	https://www.ncbi.nlm.nih.gov/gene/?term=818435
823556	NIT1	nitrilase 1	823556	https://www.ncbi.nlm.nih.gov/gene/?term=823556
830565	LEA4-5	Late Embryogenesis Abundant 4-5	830565	https://www.ncbi.nlm.nih.gov/gene/?term=830565
831375	GASA4	GAST1 protein homolog 4	831375	https://www.ncbi.nlm.nih.gov/gene/?term=831375
841425	TUA2	tubulin alpha-2 chain	841425	https://www.ncbi.nlm.nih.gov/gene/?term=841425
829381	AT4G32460	NA	829381	https://www.ncbi.nlm.nih.gov/gene/?term=829381
842716	DAA1	NA	842716	https://www.ncbi.nlm.nih.gov/gene/?term=842716
836811	AT5G66780	NA	836811	https://www.ncbi.nlm.nih.gov/gene/?term=836811
839405	TUA4	tubulin alpha-4 chain	839405	https://www.ncbi.nlm.nih.gov/gene/?term=839405
837304	APX1	ascorbate peroxidase 1	837304	https://www.ncbi.nlm.nih.gov/gene/?term=837304
837934	AFP2	ABI five binding protein 2	837934	https://www.ncbi.nlm.nih.gov/gene/?term=837934
837219	AT1G07080	NA	837219	https://www.ncbi.nlm.nih.gov/gene/?term=837219
826987	SAM-2	S-adenosylmethionine synthetase 2	826987	https://www.ncbi.nlm.nih.gov/gene/?term=826987
818097	LEA18	NA	818097	https://www.ncbi.nlm.nih.gov/gene/?term=818097
820894	JAL34	NA	820894	https://www.ncbi.nlm.nih.gov/gene/?term=820894
824659	AT3G54940	NA	824659	https://www.ncbi.nlm.nih.gov/gene/?term=824659
842944	BGLU21	NA	842944	https://www.ncbi.nlm.nih.gov/gene/?term=842944
841838	GLL22	NA	841838	https://www.ncbi.nlm.nih.gov/gene/?term=841838
834459	TUB4	tubulin beta chain 4	834459	https://www.ncbi.nlm.nih.gov/gene/?term=834459
829152	XTH19	xyloglucan endotransglucosylase/hydrolase 19	829152	https://www.ncbi.nlm.nih.gov/gene/?term=829152
827308	ATOEP16-2	NA	827308	https://www.ncbi.nlm.nih.gov/gene/?term=827308
838651	NA	catalase 3	838651	https://www.ncbi.nlm.nih.gov/gene/?term=838651
837341	AXS2	UDP-D-apiose/UDP-D-xylose synthase 2	837341	https://www.ncbi.nlm.nih.gov/gene/?term=837341
824919	SIP2	seed imbibition 2	824919	https://www.ncbi.nlm.nih.gov/gene/?term=824919
833828	RBCS3B	NA	833828	https://www.ncbi.nlm.nih.gov/gene/?term=833828
832697	AT5G26280	NA	832697	https://www.ncbi.nlm.nih.gov/gene/?term=832697
841883	AT1G54410	NA	841883	https://www.ncbi.nlm.nih.gov/gene/?term=841883
819386	GSTF8	glutathione S-transferase phi 8	819386	https://www.ncbi.nlm.nih.gov/gene/?term=819386
834606	AT5G45670	NA	834606	https://www.ncbi.nlm.nih.gov/gene/?term=834606
842569	BETA-VPE	beta vacuolar processing enzyme	842569	https://www.ncbi.nlm.nih.gov/gene/?term=842569
830088	CAD9	cinnamyl alcohol dehydrogenase 9	830088	https://www.ncbi.nlm.nih.gov/gene/?term=830088
832447	AT5G23820	NA	832447	https://www.ncbi.nlm.nih.gov/gene/?term=832447
832695	AT5G26260	NA	832695	https://www.ncbi.nlm.nih.gov/gene/?term=832695
822061	ABI3	NA	822061	https://www.ncbi.nlm.nih.gov/gene/?term=822061
830851	AT5G02240	NA	830851	https://www.ncbi.nlm.nih.gov/gene/?term=830851
844403	AT1G80640	NA	844403	https://www.ncbi.nlm.nih.gov/gene/?term=844403
827849	AT4G21020	NA	827849	https://www.ncbi.nlm.nih.gov/gene/?term=827849
835249	SBT1.3	subtilase 1.3	835249	https://www.ncbi.nlm.nih.gov/gene/?term=835249
820887	NSP1	nitrile specifier protein 1	820887	https://www.ncbi.nlm.nih.gov/gene/?term=820887
835567	THI1	thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)	835567	https://www.ncbi.nlm.nih.gov/gene/?term=835567
827947	AT4G01310	NA	827947	https://www.ncbi.nlm.nih.gov/gene/?term=827947
825167	MTHFR1	methylenetetrahydrofolate reductase 1	825167	https://www.ncbi.nlm.nih.gov/gene/?term=825167
820884	AT3G16370	NA	820884	https://www.ncbi.nlm.nih.gov/gene/?term=820884
837452	AT1G09310	NA	837452	https://www.ncbi.nlm.nih.gov/gene/?term=837452
821233	RGP1	reversibly glycosylated polypeptide 1	821233	https://www.ncbi.nlm.nih.gov/gene/?term=821233
841900	ACP2	acyl carrier protein 2	841900	https://www.ncbi.nlm.nih.gov/gene/?term=841900
839501	SAM1	S-adenosylmethionine synthetase 1	839501	https://www.ncbi.nlm.nih.gov/gene/?term=839501
844165	NA	general regulatory factor 2	844165	https://www.ncbi.nlm.nih.gov/gene/?term=844165
836626	ANNAT2	annexin 2	836626	https://www.ncbi.nlm.nih.gov/gene/?term=836626
821582	AT3G20370	NA	821582	https://www.ncbi.nlm.nih.gov/gene/?term=821582
835369	PKP-BETA1	plastidic pyruvate kinase beta subunit 1	835369	https://www.ncbi.nlm.nih.gov/gene/?term=835369
828288	APR3	APS reductase 3	828288	https://www.ncbi.nlm.nih.gov/gene/?term=828288
821955	XTH16	xyloglucan endotransglucosylase/hydrolase 16	821955	https://www.ncbi.nlm.nih.gov/gene/?term=821955
837507	iPGAM1	NA	837507	https://www.ncbi.nlm.nih.gov/gene/?term=837507
829782	ALDH3F1	aldehyde dehydrogenase 3F1	829782	https://www.ncbi.nlm.nih.gov/gene/?term=829782
841347	ACT8	actin 8	841347	https://www.ncbi.nlm.nih.gov/gene/?term=841347
836534	AT5G64130	NA	836534	https://www.ncbi.nlm.nih.gov/gene/?term=836534
832311	NA	fatty acid reductase 1	832311	https://www.ncbi.nlm.nih.gov/gene/?term=832311
838087	ABCG35	pleiotropic drug resistance 7	838087	https://www.ncbi.nlm.nih.gov/gene/?term=838087
837610	ACLA-1	ATP-citrate lyase A-1	837610	https://www.ncbi.nlm.nih.gov/gene/?term=837610
817433	XBAT31	NA	817433	https://www.ncbi.nlm.nih.gov/gene/?term=817433
835845	AIL5	AINTEGUMENTA-like 5	835845	https://www.ncbi.nlm.nih.gov/gene/?term=835845
818436	LP1	lipid transfer protein 1	818436	https://www.ncbi.nlm.nih.gov/gene/?term=818436
2745747	AT1G07985	NA	2745747	https://www.ncbi.nlm.nih.gov/gene/?term=2745747
827632	AT4G18970	NA	827632	https://www.ncbi.nlm.nih.gov/gene/?term=827632
832343	EMB1030	Alanyl-tRNA synthetase, class IIc	832343	https://www.ncbi.nlm.nih.gov/gene/?term=832343
821584	AT3G20390	endoribonuclease L-PSP family protein	821584	https://www.ncbi.nlm.nih.gov/gene/?term=821584
842035	CSLE1	cellulose synthase like E1	842035	https://www.ncbi.nlm.nih.gov/gene/?term=842035
838859	PATL2	PATELLIN 2	838859	https://www.ncbi.nlm.nih.gov/gene/?term=838859
836213	COB	NA	836213	https://www.ncbi.nlm.nih.gov/gene/?term=836213
842817	AT1G65090	NA	842817	https://www.ncbi.nlm.nih.gov/gene/?term=842817
827528	AT4G18030	NA	827528	https://www.ncbi.nlm.nih.gov/gene/?term=827528
820209	SCPL7	serine carboxypeptidase-like 7	820209	https://www.ncbi.nlm.nih.gov/gene/?term=820209
829949	SHM1	serine transhydroxymethyltransferase 1	829949	https://www.ncbi.nlm.nih.gov/gene/?term=829949
820366	AT3G11930	NA	820366	https://www.ncbi.nlm.nih.gov/gene/?term=820366
832034	AILP1	NA	832034	https://www.ncbi.nlm.nih.gov/gene/?term=832034
831774	ATMDAR2	NA	831774	https://www.ncbi.nlm.nih.gov/gene/?term=831774
834321	RD21B	NA	834321	https://www.ncbi.nlm.nih.gov/gene/?term=834321
837095	POM1	NA	837095	https://www.ncbi.nlm.nih.gov/gene/?term=837095
844202	GGH1	gamma-glutamyl hydrolase 1	844202	https://www.ncbi.nlm.nih.gov/gene/?term=844202
816962	ALDH11A3	aldehyde dehydrogenase 11A3	816962	https://www.ncbi.nlm.nih.gov/gene/?term=816962
835504	OMT1	O-methyltransferase 1	835504	https://www.ncbi.nlm.nih.gov/gene/?term=835504
822594	UGD2	NA	822594	https://www.ncbi.nlm.nih.gov/gene/?term=822594
815998	KCS8	3-ketoacyl-CoA synthase 8	815998	https://www.ncbi.nlm.nih.gov/gene/?term=815998
840069	ACBP6	acyl-CoA-binding protein 6	840069	https://www.ncbi.nlm.nih.gov/gene/?term=840069
814741	LCR69	low-molecular-weight cysteine-rich 69	814741	https://www.ncbi.nlm.nih.gov/gene/?term=814741
838590	TUB5	tubulin beta-5 chain	838590	https://www.ncbi.nlm.nih.gov/gene/?term=838590
834351	c-NAD-MDH2	NA	834351	https://www.ncbi.nlm.nih.gov/gene/?term=834351
816751	PLAT2	NA	816751	https://www.ncbi.nlm.nih.gov/gene/?term=816751
818199	ABI5	NA	818199	https://www.ncbi.nlm.nih.gov/gene/?term=818199
823481	LTPG2	NA	823481	https://www.ncbi.nlm.nih.gov/gene/?term=823481
830912	PAS2	NA	830912	https://www.ncbi.nlm.nih.gov/gene/?term=830912
841367	LACS2	long-chain acyl-CoA synthetase 2	841367	https://www.ncbi.nlm.nih.gov/gene/?term=841367
838614	VAB3	NA	838614	https://www.ncbi.nlm.nih.gov/gene/?term=838614
818260	MAT3	methionine adenosyltransferase 3	818260	https://www.ncbi.nlm.nih.gov/gene/?term=818260
