pathway	pval	padj	log2err	ES	NES	size	leadingEdge
(1->3)-BETA-D-GLUCAN_BIOSYNTHETIC_PROCESS	0.0290118003407585	0.146637504911826	0.0333359879014972	-0.792332879269389	-1.545483544424	13	AT5G36870 AT3G14570 AT1G05570 AT3G59100 AT1G06490 AT2G13680 AT2G36850
(1->3)-BETA-D-GLUCAN_METABOLIC_PROCESS	0.0290118003407585	0.146637504911826	0.0333359879014972	-0.792332879269389	-1.545483544424	13	AT5G36870 AT3G14570 AT1G05570 AT3G59100 AT1G06490 AT2G13680 AT2G36850
1,3-BETA-D-GLUCAN_SYNTHASE_ACTIVITY	0.0270788401629523	0.140830879148636	0.0347490289507223	-0.805671367072926	-1.55219974077035	12	AT5G36870 AT3G14570 AT1G05570 AT3G59100 AT1G06490 AT2G13680 AT2G36850
1,3-BETA-D-GLUCAN_SYNTHASE_COMPLEX	0.0270788401629523	0.140830879148636	0.0347490289507223	-0.805671367072926	-1.55219974077035	12	AT5G36870 AT3G14570 AT1G05570 AT3G59100 AT1G06490 AT2G13680 AT2G36850
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_BIOSYNTHETIC_PROCESS	0.537813232377862	0.903098659269854	0.00610963572495276	-0.466897832283349	-0.957820994041515	18	AT4G26200 AT4G11280 AT4G28410 AT1G23310
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_METABOLIC_PROCESS	0.561534561937139	0.917644688341324	0.00586967170275999	-0.452740855273115	-0.936615032628577	19	AT4G26200 AT4G11280 AT4G28410 AT1G23310
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_SYNTHASE_ACTIVITY	0.537813232377862	0.903098659269854	0.00610963572495276	-0.466897832283349	-0.957820994041515	18	AT4G26200 AT4G11280 AT4G28410 AT1G23310
1-PHOSPHATIDYLINOSITOL-4-PHOSPHATE_5-KINASE_ACTIVITY	0.856755221808544	1	0.00418473907461394	-0.334218334570968	-0.651909001681864	13	AT1G60890 AT3G07960 AT1G77740 AT1G71010 AT1G34260 AT3G14270 AT3G56960
1-PHOSPHATIDYLINOSITOL_BINDING	0.288524641888055	0.681178293726436	0.00964333668979768	-0.613237686135224	-1.196149721335	13	AT5G44610
2_IRON,_2_SULFUR_CLUSTER_BINDING	0.0279431501428129	0.144429122309206	0.0504383556190065	0.596423823019611	1.5826300156538	28	AT5G65165 AT5G10000 AT5G20960 AT2G27510 AT2G27150
3'(2'),5'-BISPHOSPHATE_NUCLEOTIDASE_ACTIVITY	0.952595597626024	1	0.00582257729379481	0.249036085022244	0.519258542875523	9	AT5G54390 AT5G63990 AT4G39120 AT4G05090
3'-5'-EXORIBONUCLEASE_ACTIVITY	0.90598268642914	1	0.00618072571830558	0.27900538830392	0.594790149058352	10	AT3G46210 AT2G47220 AT5G02250 AT3G03710 AT3G07750 AT3G60500
3'-5'_EXONUCLEASE_ACTIVITY	0.977775907062884	1	0.00300877638090361	-0.232529677646992	-0.51268888182786	29	AT3G44260 AT5G22250 AT1G54440 AT1G50840
3-CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.416840582129838	0.808775720360935	0.0108689577070499	0.452666670373649	1.03944864239951	14	AT1G79440 AT5G62530 AT2G14170 AT1G54100 AT3G48000 AT1G74920
4-COUMARATE-COA_LIGASE_ACTIVITY	0.484903559616203	0.873737263196433	0.00703338504228042	-0.539307595077985	-1.01018367190977	10	AT5G63380 AT1G65060 AT1G20490 AT4G19010
4-HYDROXYPROLINE_METABOLIC_PROCESS	0.426358948347282	0.818099007726195	0.00785661360934175	-0.592294481882519	-1.07038708436145	8	AT2G17720 AT3G06300 AT3G28480 AT2G43080
4_IRON,_4_SULFUR_CLUSTER_BINDING	0.679509657812454	0.97950420201888	0.00489293179156759	-0.396490770042802	-0.838894351406429	22	AT3G10010 AT1G05900 AT5G50210
6-PHOSPHOFRUCTOKINASE_ACTIVITY	0.679176596914858	0.97950420201888	0.00771021642546203	0.375067317409835	0.816233545532051	11	AT5G47810 AT4G26270 AT4G04040 AT5G61580
6-PHOSPHOFRUCTOKINASE_COMPLEX	0.679176596914858	0.97950420201888	0.00771021642546203	0.375067317409835	0.816233545532051	11	AT5G47810 AT4G26270 AT4G04040 AT5G61580
7S_RNA_BINDING	0.910249668194225	1	0.00603720931590086	0.280020416008795	0.583863150511449	9	AT1G15310 AT5G03940 AT1G67680 AT5G49500 AT1G67650 AT1G48900
ABSCISIC_ACID_BIOSYNTHETIC_PROCESS	0.0589709071871962	0.255551347945201	0.0360476505069306	0.516279057629444	1.43691927217278	35	AT1G30100 AT1G78390 AT5G20960 AT5G67030 AT5G02130 AT2G27510 AT2G27150 AT3G59580 AT4G25420 AT2G35550 AT1G16540 AT3G18100
ABSCISIC_ACID_MEDIATED_SIGNALING_PATHWAY	0.479890869253782	0.870004038875968	0.00498738954377486	-0.364774518977865	-1.0066503224623	232	AT3G09940 AT2G30040 AT4G18010 AT3G50260 AT1G05575 AT1G02340 AT3G52400 AT1G27730 AT3G28340 AT3G63010 AT5G05440 AT4G18950 AT1G80840 AT4G12720 AT2G38310 AT4G02380 AT5G46790 AT5G53160 AT3G25780 AT2G32460 AT3G28210 AT5G67080 AT2G26040 AT3G10640 AT1G19180 AT2G39550 AT3G54150 AT3G11820 AT5G63490 AT4G17870 AT1G15080 AT1G76650 AT5G63470 AT4G23650 AT5G27520 AT2G47000 AT1G51660 AT4G34000 AT5G64750 AT1G48270 AT2G17800 AT5G13220 AT4G25030 AT3G18040 AT3G05360 AT2G44840 AT5G65300 AT3G14090 AT4G27410 AT5G62880 AT1G32640 AT1G28480 AT1G64060 AT3G57530 AT5G01810 AT5G22250 AT1G53300 AT1G74740 AT3G02140
ABSCISIC_ACID_METABOLIC_PROCESS	0.0212135961710067	0.115921760820877	0.0629497140715395	0.544210771764695	1.56729375935013	42	AT1G30100 AT2G29090 AT1G78390 AT5G20960 AT5G67030 AT5G02130 AT2G27510 AT2G27150 AT3G59580 AT4G25420 AT2G35550 AT1G16540 AT3G18100
ABSCISSION	0.0931498877712195	0.344232918594877	0.0301357199864572	0.459080733949716	1.3335093806446	44	AT3G53040 AT1G52690 AT3G02480 AT3G56350 AT1G01640 AT3G60140 AT2G30600 AT1G21780 AT5G13790 AT5G67480
ACETATE_FERMENTATION	0.980189778591643	1	0.00381261744136666	-0.237118949952617	-0.436603259330211	9	AT1G78040 AT2G31390
ACETATE_METABOLIC_PROCESS	0.486837183876629	0.873893258561668	0.010109160713737	0.412979259641369	0.975738864184967	16	AT4G10750 AT1G02050 AT3G16910 AT2G28450 AT3G13440 AT1G58150
ACETYL-COA_BIOSYNTHETIC_PROCESS	0.331662024141133	0.736601395742961	0.00873519856628656	-0.576075006738039	-1.14951612660687	15	AT1G60440 AT3G16950 AT5G49460 AT1G60810 AT2G38700 AT3G52930 AT3G06650 AT1G10670 AT1G12000 AT5G48230
ACETYL-COA_CATABOLIC_PROCESS	0.503166489857588	0.883050042598013	0.0105909627227305	0.379249688651204	0.964913217367624	23	AT5G65165 AT5G65750 AT2G46505
ACETYL-COA_METABOLIC_PROCESS	0.0131805948519771	0.0803121472949288	0.0423813915989903	-0.563568437835168	-1.47305961696889	111	AT1G12080 AT1G77690 AT1G30120 AT5G15350 AT4G12730 AT5G47770 AT4G34640 AT4G23690 AT2G04780 AT1G60440 AT2G29390 AT1G01620 AT5G16590 AT4G25870 AT5G19340 AT1G45130 AT3G58750 AT2G13820 AT3G09810 AT3G52940 AT2G26640 AT3G27380 AT3G14940 AT2G31270 AT1G48230 AT3G16950 AT5G13710 AT2G47510 AT5G49460 AT1G50430 AT4G31840 AT5G03290 AT4G18060 AT2G26730 AT1G62640 AT4G35260 AT4G12110 AT4G26910 AT1G60810 AT3G02580 AT2G38700 AT3G55410 AT1G64650 AT4G17190 AT5G50375 AT2G18450 AT1G77350 AT5G65020 AT3G52930 AT2G01070 AT5G40650 AT3G08550 AT3G06650 AT1G10670
ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	0.965135350896291	1	0.0032386303065731	-0.247653686137332	-0.527507380020302	23	AT5G15050 AT1G71070 AT2G37585 AT4G27480 AT1G67880 AT2G34980 AT5G39990 AT3G15350
ACETYLTRANSFERASE_ACTIVITY	0.958158344999222	1	0.00958215284919971	0.222087770431174	0.69709901862899	66	AT1G26220 AT2G39020 AT5G47720 AT3G06850 AT1G24040 AT5G67480 AT2G39000 AT3G52280 AT2G22910 AT2G06025 AT5G56740 AT1G32750 AT1G55970 AT4G35640
ACID-AMINO_ACID_LIGASE_ACTIVITY	0.974025974025974	1	0.0238690062771735	0.215998519490347	0.823571931377356	281	AT5G62800 AT1G60190 AT1G77000 AT1G68050 AT4G21350 AT4G25160 AT1G21410 AT5G02750 AT5G54510 AT5G03200 AT3G17000 AT4G27260 AT5G56150 AT3G09770 AT4G37390 AT2G45910 AT1G08050 AT1G80570 AT2G33770 AT4G24390 AT4G12570 AT2G45920 AT4G15475 AT4G02440 AT4G37890 AT2G39810 AT3G17205 AT1G64230 AT2G42620 AT4G19700 AT4G23860 AT5G48840 AT5G42990 AT3G29270 AT4G28890 AT2G33340 AT5G14420 AT5G05230 AT5G05080 AT5G62560 AT2G32950 AT1G20140 AT5G67530 AT3G53410 AT4G07400 AT5G41700 AT1G69670 AT3G11840 AT5G07270 AT4G14220 AT5G67340 AT1G14260 AT1G63800 AT1G06770 AT2G45950 AT1G65430 AT3G15355 AT5G42190 AT1G24330
ACID-AMMONIA_(OR_AMIDE)_LIGASE_ACTIVITY	0.594971577392132	0.939604803705416	0.00817261582765443	0.424545425153639	0.88520841800921	9	AT1G48470 AT3G53180
ACID-THIOL_LIGASE_ACTIVITY	0.485842026825633	0.873737263196433	0.00646383429312723	-0.4738761916871	-1.00262626650649	22	AT5G63380 AT1G65060 AT1G30520 AT5G49460 AT5G08300 AT1G20490 AT3G06650 AT4G19010
ACID_PHOSPHATASE_ACTIVITY	0.157566345532757	0.474814021102067	0.0126781487285471	-0.573796143233739	-1.2901017141533	33	AT5G44020 AT1G14700 AT1G04040 AT4G29270 AT1G15080 AT4G24890 AT5G34850 AT4G14930
ACP_PHOSPHOPANTETHEINE_ATTACHMENT_SITE_BINDING_INVOLVED_IN_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.172937560659981	0.496688473793164	0.0131863466581682	-0.696901612015989	-1.32461903760177	11	AT3G25110 AT4G25050 AT4G13050 AT1G54630 AT3G05020
ACROPETAL_AUXIN_TRANSPORT	0.235979083743073	0.60149210297757	0.010810451299736	-0.632300725115389	-1.2478071728237	14	AT1G28010 AT1G78100 AT3G63420 AT4G25960
ACTIN_BINDING	0.293146149763704	0.684346384283725	0.00830098761116758	-0.46754751200023	-1.13631008624158	58	AT1G01750 AT1G20450 AT2G39900 AT3G57410 AT2G16700 AT3G05470 AT3G54870 AT5G48460 AT4G29350 AT2G19760 AT2G41740 AT2G29890 AT1G49340 AT5G07770 AT1G13180 AT3G46010 AT4G19410 AT1G01780 AT4G29340 AT2G38440 AT5G59890 AT1G20260 AT2G30910 AT2G26770 AT5G56600
ACTIN_CYTOSKELETON	0.253677911625598	0.62904138088358	0.00929450507018157	-0.499276487441996	-1.17784475005699	46	AT2G31900 AT1G20450 AT2G39900 AT5G37770 AT3G57410 AT4G28710 AT5G20490 AT1G64500 AT4G29350 AT5G43900 AT2G19760 AT2G29890 AT1G13180 AT1G30825 AT4G19410 AT5G11710 AT1G01780 AT2G33240 AT4G29340 AT1G04160 AT1G60430 AT2G30910
