pathway	pval	padj	log2err	ES	NES	size	leadingEdge
(1->3)-BETA-D-GLUCAN_BIOSYNTHETIC_PROCESS	0.252003810733566	0.499701464225771	0.00917071737119065	-0.604206458197765	-1.21042678496906	13	AT5G36870 AT3G14570 AT3G59100
(1->3)-BETA-D-GLUCAN_METABOLIC_PROCESS	0.252003810733566	0.499701464225771	0.00917071737119065	-0.604206458197765	-1.21042678496906	13	AT5G36870 AT3G14570 AT3G59100
1,3-BETA-D-GLUCAN_SYNTHASE_ACTIVITY	0.204964063989284	0.438692130543222	0.0104874826737778	-0.634099026368662	-1.25425626196355	12	AT5G36870 AT3G14570 AT3G59100
1,3-BETA-D-GLUCAN_SYNTHASE_COMPLEX	0.204964063989284	0.438692130543222	0.0104874826737778	-0.634099026368662	-1.25425626196355	12	AT5G36870 AT3G14570 AT3G59100
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_BIOSYNTHETIC_PROCESS	0.013433014354067	0.0497263735242785	0.0428183670324637	-0.731203680845569	-1.54564172375932	18	AT4G26200 AT4G28420 AT4G23590 AT4G28410
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_METABOLIC_PROCESS	0.0117677762224489	0.0448048427071558	0.0455894562562803	-0.72827084295206	-1.55126503900826	19	AT4G26200 AT4G28420 AT4G23590 AT4G28410
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_SYNTHASE_ACTIVITY	0.013433014354067	0.0497263735242785	0.0428183670324637	-0.731203680845569	-1.54564172375932	18	AT4G26200 AT4G28420 AT4G23590 AT4G28410
1-PHOSPHATIDYLINOSITOL-4-PHOSPHATE_5-KINASE_ACTIVITY	0.421111998872021	0.699843041711971	0.0145428684539346	0.371679886408884	1.01891818728732	13	AT3G56960 AT1G34260 AT3G14270 AT4G33240 AT1G71010 AT2G41210 AT1G10900 AT1G21980
1-PHOSPHATIDYLINOSITOL_BINDING	0.587475389012385	0.863137355948033	0.00491837843285855	-0.467480209458905	-0.936518567940884	13	AT4G02650 AT5G44610
2_IRON,_2_SULFUR_CLUSTER_BINDING	0.948510971786834	1	0.00193749627062402	-0.257764988077534	-0.579062392177915	28	AT4G34900 AT4G03280 AT3G43600 AT1G10960 AT3G44880 AT1G60950 AT1G71500 AT4G14890 AT5G51720
3'(2'),5'-BISPHOSPHATE_NUCLEOTIDASE_ACTIVITY	0.43202313873692	0.71163010345851	0.00670196071195289	-0.567762589032679	-1.06759613583643	9	AT5G09290 AT4G39120 AT5G63980 AT4G05090 AT5G63990 AT1G31190
3'-5'-EXORIBONUCLEASE_ACTIVITY	0.0585340688122545	0.165495158538037	0.0372929279458246	0.61454848472596	1.54985257632932	10	AT5G14580 AT3G46210 AT3G61620 AT3G07750 AT1G60080 AT3G60500 AT3G12990
3'-5'_EXONUCLEASE_ACTIVITY	0.0344861273935131	0.108413985881374	0.0767057710229735	0.436644570928181	1.50342139356012	29	AT5G14580 AT3G46210 AT5G35910 AT3G50100 AT3G61620 AT3G20540 AT3G07750 AT1G60080 AT3G60500 AT2G32415 AT5G24340 AT3G12990 AT1G50840 AT5G22250 AT5G63960 AT3G12410 AT4G13885 AT1G56310 AT5G48350
3-CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.468799318620206	0.752390487911804	0.00589890676956971	-0.508784672991452	-1.03302748950208	14	AT2G24270 AT4G36250 AT1G74920 AT4G34240 AT3G48170
4-COUMARATE-COA_LIGASE_ACTIVITY	0.0805181610363221	0.215118089895839	0.0180217992443069	-0.727450089775403	-1.39373921041775	10	AT1G65060 AT1G20490 AT3G21230 AT5G63380 AT1G51680
4-HYDROXYPROLINE_METABOLIC_PROCESS	0.312863941769317	0.569988983332633	0.00850355571714465	-0.635149657027975	-1.1684030384717	8	AT3G06300 AT2G17720 AT5G66060
4_IRON,_4_SULFUR_CLUSTER_BINDING	0.478382352941177	0.760454139368672	0.017295268362143	0.30667260226542	0.978292395519698	22	AT2G31955 AT2G31450 AT1G72090 AT1G05900 AT5G11770 AT4G13430 AT4G35830 AT2G20860 AT5G23440 AT4G34060 AT2G05710 AT5G04560 AT3G10010 AT5G50210 AT5G08410 AT1G16700 AT5G08415 AT4G26970 AT5G60600 AT5G08530 AT1G79010 AT4G36390
6-PHOSPHOFRUCTOKINASE_ACTIVITY	0.683968264376107	0.936639967993755	0.00436959993222972	-0.435200585502954	-0.847942844823842	11	AT4G29220 AT2G22480 AT1G20950 AT1G12000
6-PHOSPHOFRUCTOKINASE_COMPLEX	0.683968264376107	0.936639967993755	0.00436959993222972	-0.435200585502954	-0.847942844823842	11	AT4G29220 AT2G22480 AT1G20950 AT1G12000
7S_RNA_BINDING	0.0337764463583599	0.107065718919789	0.047832733613329	0.672323024311126	1.63996262762962	9	AT1G67650 AT1G15310
ABSCISIC_ACID_BIOSYNTHETIC_PROCESS	0.00128950576184973	0.0064451140044512	0.45505986738723	0.527921135429295	1.90473697414251	35	AT3G24220 AT1G78390 AT1G30100 AT3G26790 AT5G20960 AT2G35550 AT3G59580 AT2G32050 AT3G08970 AT3G18100 AT2G27510 AT1G16540 AT2G26000 AT5G02130 AT5G53770 AT1G13040 AT1G09320
ABSCISIC_ACID_MEDIATED_SIGNALING_PATHWAY	0.994549182377357	1	0.000342669473961732	-0.255728171882995	-0.646933138707939	232	AT3G09940 AT3G23250 AT2G32030 AT4G21440 AT1G02340 AT1G76650 AT3G25780 AT4G34000 AT1G28480 AT2G30040 AT2G44840 AT4G39670 AT1G64060 AT5G25930 AT2G26040 AT1G76260 AT5G10720 AT1G27730 AT4G02380 AT5G01560 AT4G18010 AT1G28190 AT3G29575 AT3G28340 AT5G55120 AT1G80840 AT5G13220 AT2G06050 AT3G52400 AT1G32640 AT4G33360 AT1G53300 AT4G23650 AT3G11820 AT1G62810 AT1G05575 AT3G50260 AT2G40180 AT3G59220 AT5G47730 AT5G63980 AT5G01810 AT4G12720 AT3G54150 AT4G25030 AT3G05580 AT1G35670 AT3G63010 AT1G52400
ABSCISIC_ACID_METABOLIC_PROCESS	0.00514304082288653	0.0216510661771043	0.256999698136606	0.437756900148505	1.64426076664322	42	AT3G24220 AT1G78390 AT1G30100 AT3G26790 AT5G20960 AT2G35550 AT2G29090 AT3G59580 AT2G32050 AT3G08970 AT3G18100 AT2G27510 AT1G16540
ABSCISSION	0.295850450622592	0.550644946102997	0.0073395568907961	-0.482864041096212	-1.13934660238674	44	AT3G25655 AT2G23630 AT3G01420 AT2G41850 AT2G30520 AT3G57130 AT4G37610 AT4G32980 AT1G48000 AT4G01430 AT3G02480 AT2G31880
ACETATE_FERMENTATION	0.322973655129132	0.582050429128733	0.00819206391405865	-0.615532717995292	-1.15742101347725	9	AT3G59480 AT1G66430 AT1G78040
ACETATE_METABOLIC_PROCESS	0.641564022119951	0.907795381567204	0.00433479237907038	-0.429156192821199	-0.890556195118043	16	AT3G59480 AT1G66430 AT1G78040 AT5G36880 AT4G10260
ACETYL-COA_BIOSYNTHETIC_PROCESS	0.155081865925239	0.357438255746515	0.0120432203248926	-0.631906677296386	-1.29737619042886	15	AT1G60810 AT1G10670 AT5G49460 AT2G38700 AT3G25860 AT3G52930 AT1G12000 AT5G48230
ACETYL-COA_CATABOLIC_PROCESS	0.850097779822846	1	0.00271139339843432	-0.321815730306039	-0.704675395255729	23	AT2G18450
ACETYL-COA_METABOLIC_PROCESS	9.15457974989033e-06	7.54122634335102e-05	0.593325476396405	-0.650749874816461	-1.62105455051876	111	AT1G08560 AT1G12080 AT1G77690 AT4G31840 AT2G18450 AT2G04780 AT4G23800 AT4G05190 AT2G13820 AT1G45130 AT4G23690 AT5G47770 AT5G65020 AT1G60810 AT5G16590 AT4G12730 AT1G04820 AT5G50375 AT1G75680 AT5G13710 AT2G29390 AT5G19340 AT1G10670 AT5G49460 AT2G31270 AT1G30120 AT1G01620 AT2G14890 AT4G25870 AT5G56040 AT5G12250 AT1G12230 AT1G50430 AT3G20260 AT1G64650 AT2G47320 AT5G16390 AT3G52940 AT3G14940 AT2G38700 AT4G17190 AT2G26640 AT3G19820 AT1G62640 AT1G20950 AT2G05990 AT2G34590 AT4G18060 AT3G02580 AT3G25860 AT2G43360 AT3G43810 AT4G22756 AT3G52930 AT1G44900 AT2G01070 AT2G26730 AT1G48230 AT5G35360 AT1G12000 AT1G74690 AT4G34640 AT3G08680 AT1G47290 AT1G34430
ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	0.550649948234212	0.830330345670684	0.00476112341142939	-0.440984912314768	-0.965618483259674	23	AT2G37585 AT4G27480 AT3G15350 AT2G34980 AT1G12990 AT3G26445 AT5G15050 AT3G03690 AT1G71070 AT3G24040 AT5G39990
ACETYLTRANSFERASE_ACTIVITY	0.765607047108388	0.990501797737415	0.0319476443924015	0.211154456289469	0.872395208747074	66	AT3G19040 AT4G35640 AT5G67480 AT4G37580 AT1G05690 AT1G16710 AT1G32750 AT3G01460 AT3G54610 AT5G64610 AT3G12980 AT1G79000 AT1G24040 AT2G22910 AT2G39020 AT2G11000 AT3G06850 AT5G50320 AT1G55970
ACID-AMINO_ACID_LIGASE_ACTIVITY	1	1	3.22602870379414e-05	-0.18597870441457	-0.471665887172969	281	AT3G52450 AT2G35930 AT3G54780 AT2G16740 AT2G23170 AT2G35000 AT2G22890 AT1G62190 AT3G18710 AT4G36410 AT4G27030 AT1G28130 AT1G10560 AT1G66050 AT5G27920 AT1G23030 AT5G64660 AT1G66160 AT3G55630 AT1G66620 AT4G21070 AT2G42360 AT1G57820 AT5G65920 AT3G56580 AT5G01720 AT3G06140 AT4G28270 AT5G65683 AT4G30640 AT5G39550 AT3G54650 AT2G01150 AT2G38970 AT1G30950 AT4G03190 AT5G18340
ACID-AMMONIA_(OR_AMIDE)_LIGASE_ACTIVITY	0.00941375499679387	0.0368947314044682	0.0547526264852499	-0.831747984564186	-1.56398281863435	9	AT1G66200 AT5G35630
ACID-THIOL_LIGASE_ACTIVITY	0.10477766718363	0.26684312377205	0.014460581676417	-0.617193828267818	-1.34322985773211	22	AT1G65060 AT1G20490 AT3G21230 AT5G63380 AT5G49460 AT1G51680 AT1G20510 AT4G31910
ACID_PHOSPHATASE_ACTIVITY	0.00500481864377081	0.0212029539051179	0.0673690648746805	-0.685546829465497	-1.57074888783785	33	AT5G44020 AT1G14700 AT1G04040 AT2G01890 AT4G29270 AT1G13750 AT3G10150 AT5G63140 AT2G27190 AT2G32770 AT3G52780 AT1G54780 AT4G14930 AT5G34850
ACP_PHOSPHOPANTETHEINE_ATTACHMENT_SITE_BINDING_INVOLVED_IN_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.337512294275785	0.597674924599354	0.00774975332756341	-0.58679478720652	-1.14330829912985	11	AT1G54580 AT5G27200 AT3G25110 AT4G25050 AT4G13050 AT5G47630 AT2G44620
ACROPETAL_AUXIN_TRANSPORT	0.530887547283249	0.816209022868082	0.00531914063653044	-0.484481393592577	-0.983682536643192	14	AT3G28380 AT1G28010
