pathway	pval	padj	log2err	ES	NES	size	leadingEdge
(1->3)-BETA-D-GLUCAN_BIOSYNTHETIC_PROCESS	0.964863563402889	1	0.00371646717336993	-0.25052617081995	-0.517690678872964	13	AT1G05570 AT4G03550 AT3G14570
(1->3)-BETA-D-GLUCAN_METABOLIC_PROCESS	0.964863563402889	1	0.00371646717336993	-0.25052617081995	-0.517690678872964	13	AT1G05570 AT4G03550 AT3G14570
1,3-BETA-D-GLUCAN_SYNTHASE_ACTIVITY	0.961869897628612	1	0.00377322310323127	-0.255518985903147	-0.519692543837404	12	AT1G05570 AT4G03550 AT3G14570
1,3-BETA-D-GLUCAN_SYNTHASE_COMPLEX	0.961869897628612	1	0.00377322310323127	-0.255518985903147	-0.519692543837404	12	AT1G05570 AT4G03550 AT3G14570
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_BIOSYNTHETIC_PROCESS	0.547648591636679	0.863948600755496	0.00617545007226647	-0.431223710809092	-0.947666648557795	18	AT4G26200 AT4G11280
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_METABOLIC_PROCESS	0.573027817183741	0.882967391257967	0.0059325508302847	-0.417283200967371	-0.926251709027365	19	AT4G26200 AT4G11280
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_SYNTHASE_ACTIVITY	0.547648591636679	0.863948600755496	0.00617545007226647	-0.431223710809092	-0.947666648557795	18	AT4G26200 AT4G11280
1-PHOSPHATIDYLINOSITOL-4-PHOSPHATE_5-KINASE_ACTIVITY	0.710598907219776	0.980508603080121	0.00754168253726975	0.350369859967284	0.806646826414167	13	AT4G33240 AT2G41210 AT3G09920 AT3G56960 AT1G34260 AT1G10900
1-PHOSPHATIDYLINOSITOL_BINDING	0.156998394863563	0.428451691663669	0.0138562061376679	-0.635614005072898	-1.31344140498534	13	AT5G44610
2_IRON,_2_SULFUR_CLUSTER_BINDING	0.0283508338480544	0.133110622335377	0.0474100014747056	0.567630895479759	1.5544920157299	28	AT5G65165 AT5G10000 AT2G27150 AT5G20960 AT1G44446 AT4G34890
3'(2'),5'-BISPHOSPHATE_NUCLEOTIDASE_ACTIVITY	0.806041308950273	1	0.0047151925905337	-0.373759876300835	-0.718332316513524	9	AT3G02870 AT5G63990 AT5G64000 AT4G39120
3'-5'-EXORIBONUCLEASE_ACTIVITY	0.999237611181703	1	0.00566755605894592	0.169646237887191	0.367909046667198	10	AT5G02250 AT2G47220 AT3G12990 AT3G03710
