pathway	pval	padj	log2err	ES	NES	size	leadingEdge
(1->3)-BETA-D-GLUCAN_BIOSYNTHETIC_PROCESS	0.0485498108448928	0.139736314547159	0.0325683579797749	-0.649691869304976	-1.53098106228409	13	AT1G06490 AT1G05570 AT2G31960 AT2G36850 AT2G13680 AT5G13000 AT5G63370
(1->3)-BETA-D-GLUCAN_METABOLIC_PROCESS	0.0485498108448928	0.139736314547159	0.0325683579797749	-0.649691869304976	-1.53098106228409	13	AT1G06490 AT1G05570 AT2G31960 AT2G36850 AT2G13680 AT5G13000 AT5G63370
1,3-BETA-D-GLUCAN_SYNTHASE_ACTIVITY	0.0612219513408627	0.167628891024519	0.0287245438728312	-0.648538274060727	-1.49839449072045	12	AT1G06490 AT1G05570 AT2G31960 AT2G36850 AT2G13680 AT5G13000
1,3-BETA-D-GLUCAN_SYNTHASE_COMPLEX	0.0612219513408627	0.167628891024519	0.0287245438728312	-0.648538274060727	-1.49839449072045	12	AT1G06490 AT1G05570 AT2G31960 AT2G36850 AT2G13680 AT5G13000
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_BIOSYNTHETIC_PROCESS	0.917622750258279	0.972875123650453	0.00639170286447355	-0.251594809918854	-0.642050921116244	18	AT4G23590
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_METABOLIC_PROCESS	0.936561395759717	0.983091072194284	0.00636691292702929	-0.240450118765054	-0.621034156651084	19	AT4G23590
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_SYNTHASE_ACTIVITY	0.917622750258279	0.972875123650453	0.00639170286447355	-0.251594809918854	-0.642050921116244	18	AT4G23590
1-PHOSPHATIDYLINOSITOL-4-PHOSPHATE_5-KINASE_ACTIVITY	0.0438839848675914	0.129488998064941	0.0342887632051942	-0.655722345198279	-1.54519171324865	13	AT3G56960 AT2G41210 AT1G71010 AT4G33240 AT1G21980 AT1G10900 AT1G77740
1-PHOSPHATIDYLINOSITOL_BINDING	0.594628181336161	0.77387841570996	0.00609795672128542	0.435914201720768	0.896449311618353	13	AT5G44610 AT2G25430 AT4G32285 AT4G25940 AT1G33340 AT3G25230 AT5G35200
2_IRON,_2_SULFUR_CLUSTER_BINDING	0.494240620650854	0.690273583383282	0.00644495046750662	0.417199882922409	0.981626976679639	28	AT4G03280 AT5G20960 AT1G60950 AT5G40650 AT5G13430 AT1G71500 AT5G13440 AT4G21090 AT3G27380 AT1G32550 AT2G27510 AT5G10000 AT3G44880
3'(2'),5'-BISPHOSPHATE_NUCLEOTIDASE_ACTIVITY	0.835632143973873	0.935269213072545	0.00473866755572459	0.349357614987082	0.672969280897028	9	AT4G39120 AT5G63990 AT5G54390
3'-5'-EXORIBONUCLEASE_ACTIVITY	0.132756305744701	0.299535584318447	0.0188446886382847	-0.618259777836679	-1.36512383034848	10	AT2G47220 AT3G12990 AT5G02250 AT3G60500 AT1G60080 AT5G14580 AT3G03710
3'-5'_EXONUCLEASE_ACTIVITY	0.00569898165737598	0.0247440617302539	0.106695451726988	-0.616978157796774	-1.75895050486965	29	AT2G32415 AT2G47220 AT3G11770 AT1G54440 AT1G56310 AT3G12990 AT3G20540 AT1G50840 AT5G35910 AT5G63960 AT5G02250 AT3G60500 AT1G60080 AT5G14580 AT2G25910 AT3G44260 AT3G03710
3-CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.679139310627821	0.840037329123669	0.00760174175630766	-0.348897523172546	-0.837162298903564	14	AT5G62530 AT2G14170 AT3G48000 AT3G48170 AT1G79440 AT3G66658 AT1G44170
4-COUMARATE-COA_LIGASE_ACTIVITY	0.312376704691655	0.521341168819644	0.00966890296262407	0.593817947500793	1.16622840251113	10	AT1G51680 AT3G21240 AT1G65060 AT1G20480 AT1G20510 AT5G63380 AT3G21230 AT1G20490
4-HYDROXYPROLINE_METABOLIC_PROCESS	0.521282778296321	0.714674709786407	0.00703591654861238	0.512932554632637	0.967483929531612	8	AT2G17720 AT3G06300 AT2G43080
4_IRON,_4_SULFUR_CLUSTER_BINDING	0.205233058664371	0.402693270241672	0.0116232543844761	0.555683563416055	1.25469404650791	22	AT3G10010 AT2G20860 AT5G11770 AT5G23440 AT4G26970 AT5G08410
6-PHOSPHOFRUCTOKINASE_ACTIVITY	0.381588753387534	0.594219711922553	0.00846018186297132	0.547964506719654	1.09368797265592	11	AT4G29220 AT1G76550 AT4G26270 AT1G12000
6-PHOSPHOFRUCTOKINASE_COMPLEX	0.381588753387534	0.594219711922553	0.00846018186297132	0.547964506719654	1.09368797265592	11	AT4G29220 AT1G76550 AT4G26270 AT1G12000
7S_RNA_BINDING	0.689485342633613	0.848548886731363	0.0070939168144877	-0.379701078669172	-0.817418580121555	9	AT1G67680 AT5G49500 AT5G03940 AT1G15310
ABSCISIC_ACID_BIOSYNTHETIC_PROCESS	0.131683267264066	0.297613021819962	0.0224895971299153	-0.430876236809585	-1.27977240540243	35	AT3G14440 AT2G27150 AT5G67030 AT1G13040 AT3G59580 AT1G16540 AT2G26000 AT1G09320 AT1G23450 AT3G43600
ABSCISIC_ACID_MEDIATED_SIGNALING_PATHWAY	0.539620655582764	0.731256562444651	0.00454014047575277	0.319868019928455	0.97318909343932	232	AT1G13740 AT1G66600 AT1G15520 AT4G01870 AT3G09940 AT5G25930 AT5G13220 AT4G36030 AT5G06860 AT3G55950 AT1G28480 AT3G28340 AT3G11820 AT5G46790 AT4G17615 AT2G05940 AT2G06050 AT4G27410 AT3G54150 AT2G47000 AT1G63840 AT1G73080 AT2G46510
ABSCISIC_ACID_METABOLIC_PROCESS	0.00787457942587157	0.032142601474694	0.0972701847108226	-0.543021762508714	-1.67473315702217	42	AT3G14440 AT2G29090 AT4G19230 AT5G45340 AT2G27150 AT5G67030 AT1G13040 AT3G59580 AT1G16540
ABSCISSION	0.477907329308967	0.678693908886851	0.00626183754691242	0.392964235799183	0.99350956065917	44	AT3G60140 AT3G56350 AT1G51660 AT1G05690 AT5G13790
ACETATE_FERMENTATION	0.678264948059619	0.839663641219088	0.00570035299920904	0.426679020971666	0.821913883078713	9	AT1G78040 AT1G58150 AT2G31390 AT4G10260
ACETATE_METABOLIC_PROCESS	0.448565319536468	0.650894215571175	0.0100833487641814	-0.406423719556503	-1.00729932923351	16	AT2G28450 AT1G02050 AT3G13440 AT3G16910 AT5G36880
ACETYL-COA_BIOSYNTHETIC_PROCESS	0.234437538641762	0.437849178587851	0.0111193821159045	0.587087472172521	1.23795749043424	15	AT3G06650 AT1G60810 AT5G48230 AT1G10670 AT3G52930 AT5G49460 AT1G60440 AT3G25860 AT1G12000 AT1G54220
ACETYL-COA_CATABOLIC_PROCESS	0.94477460501522	0.983091072194284	0.00656145250178967	-0.232453981220578	-0.628937050210592	23	AT5G65750 AT3G58750 AT5G66760 AT2G42790
ACETYL-COA_METABOLIC_PROCESS	0.000237363367711461	0.00167836460003852	0.3266384651296	0.616089797054539	1.76022250912271	111	AT2G26640 AT2G13820 AT4G12110 AT1G01620 AT1G76090 AT1G20330 AT5G13710 AT5G15350 AT2G04780 AT4G12730 AT2G26730 AT2G29390 AT1G75680 AT4G31840 AT3G06650 AT1G60810 AT5G48230 AT4G25870 AT3G43810 AT4G11820 AT5G12250 AT1G10670 AT1G08560 AT3G52930 AT5G49460 AT4G34640 AT1G50430 AT2G42600 AT5G47770 AT3G52940 AT1G77350 AT4G23690 AT1G50110 AT3G25040 AT1G04820 AT2G43360 AT2G47320 AT3G19820 AT5G16590 AT3G02580 AT1G76490 AT5G35360 AT5G19340 AT1G34430 AT5G40650 AT3G09810 AT1G64650 AT5G56040 AT1G20050 AT2G01070 AT1G60440 AT2G34590 AT1G44900 AT3G25860
ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	0.703665257148091	0.857771132469211	0.00493363995408146	0.357958584186177	0.814615693362185	23	AT5G15050 AT1G12990 AT3G27540 AT2G13290 AT5G39990 AT5G14480 AT4G27480
ACETYLTRANSFERASE_ACTIVITY	0.490989770777705	0.687845263897627	0.00581973737795063	0.367137980344308	0.984597455314729	66	AT1G26220 AT1G55920 AT5G15770 AT4G19985 AT5G48230 AT3G13110 AT5G13640 AT5G11340 AT1G77540 AT1G03150 AT1G32070 AT5G13780 AT2G38130 AT1G34430 AT1G05690 AT3G25860 AT2G04845 AT5G56760 AT4G28030 AT3G19040 AT5G67480
ACID-AMINO_ACID_LIGASE_ACTIVITY	0.154458908101807	0.334764520053313	0.0509794849143843	-0.26783735783765	-1.10021900047075	281	AT1G60190 AT1G68050 AT1G15165 AT5G02880 AT2G36370 AT3G08840 AT2G22010 AT4G38600 AT2G16920 AT1G79380 AT4G33210 AT5G54510 AT5G01720 AT1G21410 AT1G70320 AT2G17020 AT4G14220 AT3G24515 AT1G80570 AT5G02310 AT1G67530 AT3G56580 AT4G28370 AT3G61415 AT5G41480 AT5G27920 AT2G01150 AT2G44900 AT3G01650 AT1G77550 AT2G04660 AT1G71020 AT2G23140 AT5G60410 AT3G02260 AT5G20910 AT3G60350 AT2G26000 AT3G63530 AT2G46370 AT3G47990 AT1G02860 AT5G57740 AT5G37930 AT5G46210 AT4G28270 AT2G39810 AT5G64660 AT4G37890 AT5G15400 AT2G44950 AT1G75440 AT1G66650 AT5G39550 AT1G65430 AT5G06460 AT4G23450 AT4G19700 AT5G07270 AT4G08590 AT3G05870 AT2G20650 AT4G12570 AT3G62980 AT1G45050 AT1G66660 AT5G63970 AT1G77000 AT5G13530 AT3G05200 AT2G35930 AT2G45920 AT2G42160 AT1G06770 AT5G27380 AT3G54780 AT2G22680
ACID-AMMONIA_(OR_AMIDE)_LIGASE_ACTIVITY	0.463155334746204	0.664060702487311	0.00756656305158748	0.52996768760705	1.0208793463419	9	AT5G35630 AT1G66200 AT5G37600
ACID-THIOL_LIGASE_ACTIVITY	0.556542860656746	0.742976445296964	0.00605643563469102	0.412185577465285	0.930685779012147	22	AT3G06650 AT1G51680 AT5G49460 AT3G21240 AT1G65060 AT1G20480
ACID_PHOSPHATASE_ACTIVITY	0.0384731855739974	0.116983579718935	0.0275582281500065	0.627567867800143	1.51732239776694	33	AT1G14700 AT2G01890 AT5G44020 AT1G04040 AT4G29270 AT4G29260 AT4G25150 AT5G63140 AT1G13900 AT5G34850 AT2G03450 AT1G54780
ACP_PHOSPHOPANTETHEINE_ATTACHMENT_SITE_BINDING_INVOLVED_IN_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.0625677506775068	0.170260121540609	0.0232961056649129	0.746462049504497	1.48987125183427	11	AT4G13050 AT3G25110 AT4G25050 AT3G05020 AT1G54630 AT1G54580 AT5G47630 AT1G65290
ACROPETAL_AUXIN_TRANSPORT	0.361301425995738	0.574923828489379	0.008579725097352	0.531970578780663	1.10836319610716	14	AT1G78100 AT4G25960 AT1G28010 AT2G36910 AT2G39480
ACTIN_BINDING	0.42890701295959	0.632444166892795	0.00657491612296724	0.390582765706204	1.0284645537845	58	AT2G29890 AT3G07540 AT2G19760 AT4G34970 AT2G16700 AT3G46010 AT5G07770 AT5G59890 AT2G39900 AT5G59880 AT5G48360 AT3G46000 AT1G10200 AT5G56600 AT1G01750 AT4G19400 AT1G20260 AT2G31200 AT3G05520 AT1G01780 AT5G48460
ACTIN_CYTOSKELETON	0.79629836934214	0.912322998368163	0.00875913187658948	-0.259251056112899	-0.814590944160917	46	AT4G28710 AT4G27370 AT2G42170 AT2G20290 AT3G58160 AT3G19960 AT1G17580 AT4G33200 AT5G54280 AT1G20450 AT5G43900 AT4G30160
ACTIN_CYTOSKELETON_ORGANIZATION	0.0127513030528667	0.0483150638880773	0.123398714015937	-0.35497652601488	-1.37642732731506	166	AT2G45420 AT5G44750 AT5G18830 AT3G12810 AT5G06970 AT1G50030 AT1G54490 AT4G35780 AT1G60220 AT4G04920 AT2G06990 AT4G32880 AT1G19220 AT1G76850 AT2G35110 AT1G55350 AT2G38440 AT1G64570 AT1G16710 AT3G44200 AT1G02080 AT5G18410 AT1G31810 AT5G24630 AT4G01290 AT2G02560 AT4G26760 AT1G48410 AT2G36850 AT2G43800 AT2G28250 AT1G29170 AT3G20780 AT3G13870 AT4G05420 AT2G46225 AT5G07740 AT2G17700 AT4G17140 AT2G46920 AT1G22620 AT1G70140 AT5G67100 AT5G59370 AT5G12400 AT2G44950 AT5G08390 AT5G26240 AT4G30160 AT4G38470 AT5G35700 AT5G24350 AT3G20260 AT1G19850 AT5G12290 AT3G23900 AT2G34790
ACTIN_FILAMENT-BASED_MOVEMENT	0.211108866895577	0.407905499587461	0.0194292672941519	-0.355220843240784	-1.15565393976288	55	AT4G28710 AT4G27370 AT5G58670 AT4G26700 AT2G20290 AT3G58160 AT3G19960 AT1G17580 AT4G33200 AT5G54280 AT1G21630 AT1G20760 AT5G43900 AT5G35700
ACTIN_FILAMENT-BASED_PROCESS	0.00222283756425833	0.011320083928378	0.431707695803346	-0.362121827654132	-1.44851979694201	218	AT2G45420 AT5G44750 AT4G28710 AT4G27370 AT5G18830 AT3G12810 AT5G06970 AT1G50030 AT5G56180 AT5G58670 AT1G54490 AT4G35780 AT4G26700 AT1G60220 AT2G20290 AT4G04920 AT2G06990 AT4G32880 AT1G19220 AT1G76850 AT2G35110 AT1G55350 AT2G38440 AT3G58160 AT1G64570 AT3G19960 AT1G16710 AT3G44200 AT1G02080 AT1G17580 AT5G18410 AT1G31810 AT5G24630 AT4G01290 AT2G02560 AT4G26760 AT1G48410 AT4G33200 AT2G36850 AT2G43800 AT2G28250 AT1G29170 AT3G20780 AT3G13870 AT5G54280 AT4G05420 AT2G46225 AT5G07740 AT2G17700 AT4G17140 AT2G46920 AT1G22620 AT1G21630 AT1G70140 AT5G67100 AT5G59370 AT5G12400 AT2G44950 AT1G20760 AT5G08390 AT5G43900 AT5G26240 AT3G12380 AT4G30160 AT4G38470 AT5G35700 AT5G24350 AT3G20260 AT1G19850
ACTIN_FILAMENT_BINDING	0.865148833723952	0.951310595123399	0.00418853490396914	0.307297484872953	0.662865682974835	17	AT2G29890 AT2G39900 AT1G10200 AT1G20260 AT1G01780 AT4G38510
ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.412796980873145	0.621090499614769	0.0081043982387856	0.543168762451883	1.06675596585494	10	AT2G39900 AT1G10200 AT1G20260 AT1G01780 AT4G38510 AT1G76030 AT2G41740 AT2G45800
ACTIN_FILAMENT_DEPOLYMERIZATION	0.352489837398374	0.563900013035166	0.0088995360624268	0.562359887510345	1.12241986065143	11	AT2G29890 AT3G46010 AT1G20260 AT3G05520 AT4G38510 AT1G76030 AT3G25500
ACTIN_FILAMENT_ORGANIZATION	0.00490787673988253	0.0218542478301546	0.185421671633222	-0.3877995252673	-1.47762788065751	145	AT2G45420 AT5G44750 AT5G18830 AT3G12810 AT5G06970 AT1G50030 AT1G54490 AT4G35780 AT1G60220 AT4G04920 AT2G06990 AT4G32880 AT1G19220 AT1G76850 AT2G35110 AT1G55350 AT2G38440 AT1G64570 AT1G16710 AT3G44200 AT1G02080 AT5G18410 AT1G31810 AT5G24630 AT4G01290 AT2G02560 AT4G26760 AT1G48410 AT2G36850 AT2G28250 AT1G29170 AT3G20780 AT4G05420 AT2G46225 AT2G17700 AT4G17140 AT2G46920 AT1G22620 AT1G70140 AT5G67100 AT5G12400 AT2G44950 AT5G08390 AT5G26240 AT4G30160 AT4G38470 AT5G24350 AT3G20260 AT1G19850 AT5G12290 AT3G23900 AT2G34790
ACTIN_FILAMENT_POLYMERIZATION	0.344163239481177	0.553537771440173	0.0086515058146158	0.512817049349843	1.11709517703879	18	AT4G34970 AT2G22640 AT5G56600 AT1G20260 AT3G05520 AT4G38510 AT5G16490 AT1G76030 AT1G30825 AT3G25500
ACTIN_NUCLEATION	1.64834017787319e-05	0.000172117381363968	0.575610261071129	-0.527589229353179	-1.90101857940581	100	AT2G45420 AT5G44750 AT5G18830 AT3G12810 AT5G06970 AT1G50030 AT1G54490 AT1G60220 AT4G04920 AT2G06990 AT4G32880 AT1G19220 AT1G76850 AT2G35110 AT1G55350 AT2G38440 AT1G64570 AT1G16710 AT3G44200 AT1G02080 AT5G18410 AT5G24630 AT4G01290 AT2G02560 AT4G26760 AT1G48410 AT2G36850 AT2G28250 AT1G29170 AT3G20780 AT4G05420 AT2G46225 AT4G17140 AT2G46920 AT1G22620 AT1G70140 AT5G67100 AT5G12400 AT2G44950 AT5G08390 AT5G26240 AT5G24350 AT3G20260 AT1G19850 AT5G12290 AT3G23900 AT2G34790
ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	0.178759521883158	0.364563528539555	0.0125274447337385	0.565163046866106	1.28615629747285	23	AT2G29890 AT2G19760 AT4G34970 AT3G46010 AT2G22640 AT5G56600 AT1G20260 AT3G05520 AT4G38510 AT5G16490 AT4G29350
ACTIVATION_OF_IMMUNE_RESPONSE	0.669810428035202	0.83424377860695	0.00878661968545791	-0.300879351254398	-0.86437197475645	30	AT3G15210 AT5G40440 AT1G71220 AT3G18690 AT5G60410 AT2G46370 AT3G14150
ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	0.669810428035202	0.83424377860695	0.00878661968545791	-0.300879351254398	-0.86437197475645	30	AT3G15210 AT5G40440 AT1G71220 AT3G18690 AT5G60410 AT2G46370 AT3G14150
ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.438264973671698	0.642026013633253	0.00792617402690056	0.554847023051134	1.04654222724251	8	AT2G18730 AT2G20900
