pathway	pval	padj	log2err	ES	NES	size	leadingEdge
(1->3)-BETA-D-GLUCAN_BIOSYNTHETIC_PROCESS	0.512241216390344	0.727008311880632	0.00611242794094996	-0.453521384750944	-0.98040514387226	13	AT5G36870
(1->3)-BETA-D-GLUCAN_METABOLIC_PROCESS	0.512241216390344	0.727008311880632	0.00611242794094996	-0.453521384750944	-0.98040514387226	13	AT5G36870
1,3-BETA-D-GLUCAN_SYNTHASE_ACTIVITY	0.472014410435945	0.692270587734556	0.00657596526056283	-0.477942421747266	-1.01467289740045	12	AT5G36870
1,3-BETA-D-GLUCAN_SYNTHASE_COMPLEX	0.472014410435945	0.692270587734556	0.00657596526056283	-0.477942421747266	-1.01467289740045	12	AT5G36870
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_BIOSYNTHETIC_PROCESS	0.350136814735151	0.561097908132062	0.00775320136136546	-0.48013025788457	-1.1083374155606	18	AT4G26200 AT4G28410 AT4G23590 AT2G20610
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_METABOLIC_PROCESS	0.356886647428464	0.569531608187923	0.00760467134916288	-0.472513783984768	-1.10182607736403	19	AT4G26200 AT4G28410 AT4G23590 AT2G20610
1-AMINOCYCLOPROPANE-1-CARBOXYLATE_SYNTHASE_ACTIVITY	0.350136814735151	0.561097908132062	0.00775320136136546	-0.48013025788457	-1.1083374155606	18	AT4G26200 AT4G28410 AT4G23590 AT2G20610
1-PHOSPHATIDYLINOSITOL-4-PHOSPHATE_5-KINASE_ACTIVITY	0.03747181323783	0.10664748544652	0.0426839678977723	0.605104041784103	1.58337847969124	13	AT1G34260 AT3G56960 AT4G33240 AT1G71010 AT2G41210 AT3G14270 AT1G10900 AT3G09920 AT1G21980
1-PHOSPHATIDYLINOSITOL_BINDING	0.390960112246943	0.610818217327538	0.00744371466784802	-0.500273107962021	-1.08147122688884	13	AT5G44610
2_IRON,_2_SULFUR_CLUSTER_BINDING	0.537350344967532	0.746996690641353	0.0053208835518706	-0.383745348920407	-0.959801333948994	28	AT1G60950 AT4G34900 AT4G03280 AT4G14890 AT1G10960 AT1G71500 AT3G43600 AT1G32550 AT1G44446 AT3G27380 AT5G13440 AT5G40650 AT5G13430 AT2G24820 AT3G44880
3'(2'),5'-BISPHOSPHATE_NUCLEOTIDASE_ACTIVITY	0.918036038510246	1	0.00371197393083047	-0.298548568169107	-0.595538183624556	9	AT4G39120 AT5G63980 AT4G05090
3'-5'-EXORIBONUCLEASE_ACTIVITY	0.0904940681784052	0.213757353996744	0.0258862371343887	0.597100353751878	1.44782273866984	10	AT1G60080 AT5G14580 AT3G12990 AT3G61620 AT3G46210 AT2G47220 AT3G60500
3'-5'_EXONUCLEASE_ACTIVITY	0.00101068437770719	0.00456938417644684	0.318573797493935	0.596281274566245	1.94626116391254	29	AT4G13885 AT3G20540 AT3G12410 AT1G60080 AT5G14580 AT5G22250 AT3G50100 AT5G35910 AT5G63960 AT3G12990 AT1G50840 AT3G61620 AT3G46210 AT2G32415 AT5G24340 AT2G47220 AT3G12460 AT3G60500 AT1G56310
3-CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.633855817111815	0.829769260584364	0.00506357979189112	-0.401418641935946	-0.881236619229578	14	AT2G24270 AT4G36250 AT1G74920 AT4G34240
4-COUMARATE-COA_LIGASE_ACTIVITY	0.426671863522569	0.646640625270779	0.00723295883353306	-0.517378075630717	-1.05606614769957	10	AT1G65060 AT1G51680 AT5G63380 AT1G20490 AT3G21230
4-HYDROXYPROLINE_METABOLIC_PROCESS	0.12125122432798	0.265150515842834	0.015686934583211	-0.696158478424223	-1.353494312531	8	AT3G06300 AT2G17720 AT5G66060
4_IRON,_4_SULFUR_CLUSTER_BINDING	0.529911343110448	0.739943911916204	0.0119127721501107	0.31114377028052	0.944842066948331	22	AT3G10010 AT1G05900 AT2G31955 AT1G72090 AT4G26970 AT2G31450 AT4G13430 AT4G35830 AT5G04560 AT2G05710
6-PHOSPHOFRUCTOKINASE_ACTIVITY	0.795631098129389	0.940929410712348	0.00777660600476803	0.29759224994078	0.741635637722244	11	AT4G26270 AT4G04040 AT1G76550 AT5G47810
6-PHOSPHOFRUCTOKINASE_COMPLEX	0.795631098129389	0.940929410712348	0.00777660600476803	0.29759224994078	0.741635637722244	11	AT4G26270 AT4G04040 AT1G76550 AT5G47810
7S_RNA_BINDING	0.156698876991382	0.318467598605248	0.0190960939832159	0.56690069095626	1.33169828455812	9	AT1G67650 AT1G15310
ABSCISIC_ACID_BIOSYNTHETIC_PROCESS	0.00290267813133249	0.0116848049100637	0.199055548455603	0.511330068251722	1.74496566182811	35	AT1G78390 AT3G24220 AT2G35550 AT1G16540 AT3G59580 AT2G27150 AT5G20960 AT4G25420 AT3G18100 AT2G26000 AT3G08970 AT1G30100 AT1G09320 AT1G13040 AT2G27510 AT1G23450 AT5G67030
