"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","Entrez","Description"
"1","AT4G36880",25465.9948592574,-0.967334864804708,0.126389792606552,3.38844621410362e-06,0.000137302664300657,"CP1",829841,"cysteine proteinase1(CP1)"
"2","AT4G12910",13618.2259272602,-0.964558027709422,0.167902493285423,0.000337534844209334,0.00812506524736578,"SCPL20",826903,"serine carboxypeptidase-like 20(scpl20)"
"3","AT2G30970",13501.1352504413,-0.858855506815165,0.14737030475076,0.000851875199536908,0.0178737568834874,"ASP1",817648,"aspartate aminotransferase 1(ASP1)"
"4","AT3G15670",18927.7453727087,4.12348960039113,0.238871328748737,1.28811780758801e-55,2.27762648705335e-52,"AT3G15670",820810,"Late embryogenesis abundant protein (LEA) family protein(AT3G15670)"
"5","AT5G67360",11145.7252253607,0.89299113448754,0.170816820350788,0.00188689485657448,0.0343312487936143,"SBT1.7",836871,"Subtilase family protein(ARA12)"
"6","AT3G18490",8832.13977713896,1.21782926030226,0.136375593465031,8.34741776445372e-10,6.15162340956795e-08,"ASPG1",821379,"Eukaryotic aspartyl protease family protein(ASPG1)"
"7","AT3G02480",11818.9266427036,2.68200968150161,0.287312069338642,2.83109742594425e-16,4.55081363095997e-14,"AT3G02480",821185,"Late embryogenesis abundant protein (LEA) family protein(AT3G02480)"
"8","AT3G17390",8578.53769932949,-1.20777947984712,0.217463763629395,4.95520243560957e-05,0.00153959564492981,"METK4",821003,"S-adenosylmethionine synthetase family protein(MTO3)"
"9","AT5G06760",9253.41893137495,3.13347015846195,0.249856402107569,9.76246196275547e-29,3.79759770351188e-26,"LEA4-5",830565,"Late Embryogenesis Abundant 4-5(LEA4-5)"
"10","AT1G52690",11055.2419953571,2.99115305734838,0.656840811528741,6.73496110685266e-06,0.000259396026788682,"AT1G52690",841701,"Late embryogenesis abundant protein (LEA) family protein(LEA7)"
"11","AT5G15230",8302.3134422979,-1.68646602047783,0.32398817899582,1.19770239799911e-05,0.000435426385814631,"GASA4",831375,"GAST1 protein homolog 4(GASA4)"
"12","AT1G64110",7355.68751185594,1.35950254341132,0.240397154383983,1.64263137037078e-05,0.000572565952575479,"AT1G64110",842716,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(DAA1)"
"13","AT3G14415",5820.09061662478,-1.19413891539001,0.152315626826777,6.86334249490386e-08,3.62750031320326e-06,"GLO2",820664,"Aldolase-type TIM barrel family protein(GOX2)"
"14","AT5G66780",7655.93768174836,2.70922340277766,0.192548250849947,8.58179697695947e-34,4.17289878004654e-31,"AT5G66780",836811,"late embryogenesis abundant protein(AT5G66780)"
"15","AT1G32560",7365.90226934323,2.48347656503302,0.733967259093449,0.000378589349659999,0.00894722096098053,"AT1G32560",840150,"Late embryogenesis abundant protein, group 1 protein(AtLEA4-1)"
"16","AT3G17520",8012.73232052016,3.40629227026476,0.373882643796937,1.10491711418695e-16,1.83680665563557e-14,"AT3G17520",821017,"Late embryogenesis abundant protein (LEA) family protein(AT3G17520)"
"17","AT5G57655",5164.91879859973,0.792352809344528,0.102605699909423,9.25044059852201e-05,0.00265370309205388,"XYLA",835871,"xylose isomerase family protein(AT5G57655)"
"18","AT3G48140",5213.66294461371,-2.70387458625077,0.16383937247357,1.12571324268484e-45,9.51961850879135e-43,"T24C20_20",823969,"B12D protein(AT3G48140)"
"19","AT1G13740",4268.79179406526,1.14388007017297,0.262544940899531,0.00135758393112054,0.0261694821212037,"AFP2",837934,"ABI five binding protein 2(AFP2)"
"20","AT1G07080",5767.43165929235,1.20104447384563,0.116402347017985,3.07064019528785e-12,3.29966584521263e-10,"AT1G07080",837219,"Thioredoxin superfamily protein(AT1G07080)"
"21","AT2G35300",6236.43947618641,2.26091931366331,0.253705791610998,3.74681433532191e-14,5.02589922910422e-12,"LEA18",818097,"Late embryogenesis abundant protein, group 1 protein(LEA18)"
"22","AT1G47128",4282.85346942957,-1.72933755847968,0.201483521060104,1.04903690198387e-11,1.04100855834624e-09,"RD21A",841122,"Granulin repeat cysteine protease family protein(RD21A)"
"23","AT3G54940",5453.89050079458,3.11897675055453,0.19048398770386,5.45257148026878e-47,5.05011977577275e-44,"AT3G54940",824659,"Papain family cysteine protease(AT3G54940)"
"24","AT2G26250",4330.91470808176,-0.764573231139652,0.129619580236071,0.00297696027308962,0.049278193456675,"FDH",817165,"3-ketoacyl-CoA synthase 10(KCS10)"
"25","AT1G02640",3891.02517047595,-1.51802338267395,0.310432464065572,5.67575243609918e-05,0.00174949896802106,"BXL2",837940,"beta-xylosidase 2(BXL2)"
"26","AT5G44120",5010.02377178703,3.75219569319833,0.30234545828648,1.54471947211235e-29,6.2593320276219e-27,"CRA1",834435,"RmlC-like cupins superfamily protein(CRA1)"
"27","AT4G16160",4837.82324545471,2.47358069939679,0.184593796638268,6.78220803895072e-30,2.80667970973599e-27,"OEP162",827308,"Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein(ATOEP16-2)"
"28","AT3G14310",4046.65890793369,-0.910009567148108,0.12361521348436,2.07278203121533e-05,0.000704818365509409,"PME3",820651,"pectin methylesterase 3(PME3)"
"29","AT5G44310",5599.04000143472,3.14707679237192,0.675943952781436,3.90793551893998e-06,0.000157044102982196,"AT5G44310",834454,"Late embryogenesis abundant protein (LEA) family protein(AT5G44310)"
"30","AT1G76160",4188.88298244721,-1.4495808233546,0.200069126336154,4.03646485174061e-08,2.22405782907521e-06,"sks5",843948,"SKU5 similar 5(sks5)"
"31","AT2G36640",5989.00942207143,3.13990974480398,0.657344065513176,2.53657767077086e-06,0.000105645472583497,"ATECP63",818236,"embryonic cell protein 63(ECP63)"
"32","AT5G38410",4438.39816059178,-1.59399639221953,0.181145880379136,1.13852829071320e-11,1.11840279062484e-09,"RBCS-3B",833828,"Ribulose bisphosphate carboxylase (small chain) family protein(RBCS3B)"
"33","AT5G26280",4214.2469226213,-0.824262743043363,0.153469016729924,0.00303042434124234,0.0497483400024612,"AT5G26280",832697,"TRAF-like family protein(AT5G26280)"
"34","AT5G66400",3863.78949328961,3.11655702246202,0.395575991373877,6.48865495108049e-13,7.51216302372117e-11,"RAB18",836772,"Dehydrin family protein(RAB18)"
"35","AT1G62710",3725.88580243843,1.5466446053737,0.136272235124475,1.55023063425791e-17,2.7410896214833e-15,"bVPE",842569,"beta vacuolar processing enzyme(BETA-VPE)"
"36","AT4G39330",3422.62237027313,-1.46172615456212,0.179773421146138,9.2313496286818e-10,6.74999061194966e-08,"CAD9",830088,"cinnamyl alcohol dehydrogenase 9(CAD9)"
"37","AT1G03220",3113.1005796793,0.976605280909286,0.217418871928314,0.00301205224203417,0.0496421727542458,"AT1G03220",838517,"Eukaryotic aspartyl protease family protein(AT1G03220)"
"38","AT1G04560",4163.17004575186,3.83728750263109,0.239651303014994,1.37801919387774e-47,1.41065649057484e-44,"AT1G04560",839491,"AWPM-19-like family protein(AT1G04560)"
"39","AT4G21020",3903.77256418165,2.52235500300822,0.438466652778431,1.44544696311735e-07,7.32133943558137e-06,"AT4G21020",827849,"Late embryogenesis abundant protein (LEA) family protein(AT4G21020)"
"40","AT3G18080",3433.83391860428,0.959647735050891,0.15136087248869,0.000104305843908188,0.00292980020068546,"BGLU44",821333,"B-S glucosidase 44(BGLU44)"
"41","AT3G16370",2980.71942437421,-2.55067870764187,0.176599508541221,7.05113109712324e-35,3.51652563689864e-32,"APG",820884,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT3G16370)"
"42","AT4G25050",2894.44377553154,-0.878253024646248,0.174713676556019,0.00269071916435757,0.0455875328804484,"ACP4",828608,"acyl carrier protein 4(ACP4)"
"43","AT5G20250",2572.78288541079,-2.25965608920829,0.172876240912321,1.28920938026142e-27,4.25002075357365e-25,"RFS6",832147,"Raffinose synthase family protein(DIN10)"
