"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","Entrez","Description"
"1","AT1G54010",25396.2927655742,0.958666988383938,0.170785555099637,0.000547669841759705,0.00843485288562926,"GLL23",841839,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G54010)"
"2","AT3G16420",19363.7492311853,1.72760724923805,0.216874907530622,1.81138536885663e-10,1.06968775264444e-08,"PBP1",820890,"PYK10-binding protein 1(PBP1)"
"3","AT1G69530",11033.129283803,-1.12693793934028,0.0953832065139024,1.88485114925351e-14,1.97879452399409e-12,"EXPA1",843288,"expansin A1(EXPA1)"
"4","AT2G42840",11968.4740535775,1.85414432084957,0.432964354382058,0.000119412807789429,0.00227170559171415,"PDF1",818884,"protodermal factor 1(PDF1)"
"5","AT2G38530",10440.0431139777,1.60642979236787,0.220364354492819,1.12132007012467e-08,4.97745700926481e-07,"LTP2",818435,"lipid transfer protein 2(LTP2)"
"6","AT3G44310",6979.73508634575,1.1387496195153,0.271325297743651,0.00167407524412107,0.0221446673292335,"NIT1",823556,"nitrilase 1(NIT1)"
"7","AT5G06760",9253.41893137495,-1.40751719663778,0.251128793274276,1.61392832779737e-05,0.000381687316807574,"LEA4-5",830565,"Late Embryogenesis Abundant 4-5(LEA4-5)"
"8","AT5G15230",8302.3134422979,3.64987504855574,0.320704857579184,4.39352718968293e-25,1.36213072652638e-22,"GASA4",831375,"GAST1 protein homolog 4(GASA4)"
"9","AT1G50010",7268.38893262265,0.827195868227799,0.137598363263021,0.00116496233718691,0.016232572116898,"TUBA4",841425,"tubulin alpha-2 chain(TUA2)"
"10","AT4G32460",7362.99709600157,1.32102050925592,0.243817968893589,4.69749952993991e-05,0.000992628175432031,"AT4G32460",829381,"choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642)(AT4G32460)"
"11","AT1G64110",7355.68751185594,-1.45677795453083,0.23886762479975,2.56585405957661e-06,7.31489601294814e-05,"AT1G64110",842716,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(DAA1)"
"12","AT5G66780",7655.93768174836,-1.2394797364425,0.19275691582628,4.70748751600437e-06,0.000126395084293043,"AT5G66780",836811,"late embryogenesis abundant protein(AT5G66780)"
"13","AT1G04820",6637.7912574895,1.19334007625681,0.103851889449928,1.48886852199701e-14,1.60184377874363e-12,"TUBA4",839405,"tubulin alpha-4 chain(TUA4)"
"14","AT1G07890",5926.83485886959,1.82187144608214,0.269649483898962,2.68832932892199e-08,1.10768230180581e-06,"APX1",837304,"ascorbate peroxidase 1(APX1)"
"15","AT1G13740",4268.79179406526,4.13765711613412,0.246883221896248,1.35425952126765e-52,1.49284541227737e-49,"AFP2",837934,"ABI five binding protein 2(AFP2)"
