userId	geneSymbol	geneName	entrezgene	gLink
843288	EXPA1	expansin A1	843288	https://www.ncbi.nlm.nih.gov/gene/?term=843288
844174	GSTU19	glutathione S-transferase TAU 19	844174	https://www.ncbi.nlm.nih.gov/gene/?term=844174
831375	GASA4	GAST1 protein homolog 4	831375	https://www.ncbi.nlm.nih.gov/gene/?term=831375
837934	AFP2	ABI five binding protein 2	837934	https://www.ncbi.nlm.nih.gov/gene/?term=837934
819204	PIP1B	plasma membrane intrinsic protein 1B	819204	https://www.ncbi.nlm.nih.gov/gene/?term=819204
842944	BGLU21	NA	842944	https://www.ncbi.nlm.nih.gov/gene/?term=842944
838651	NA	catalase 3	838651	https://www.ncbi.nlm.nih.gov/gene/?term=838651
833828	RBCS3B	NA	833828	https://www.ncbi.nlm.nih.gov/gene/?term=833828
830088	CAD9	cinnamyl alcohol dehydrogenase 9	830088	https://www.ncbi.nlm.nih.gov/gene/?term=830088
820884	AT3G16370	NA	820884	https://www.ncbi.nlm.nih.gov/gene/?term=820884
839501	SAM1	S-adenosylmethionine synthetase 1	839501	https://www.ncbi.nlm.nih.gov/gene/?term=839501
828288	APR3	APS reductase 3	828288	https://www.ncbi.nlm.nih.gov/gene/?term=828288
3768004	AT2G16586	NA	3768004	https://www.ncbi.nlm.nih.gov/gene/?term=3768004
815374	AT2G07698	ATPase, F1 complex, alpha subunit protein	815374	https://www.ncbi.nlm.nih.gov/gene/?term=815374
827632	AT4G18970	NA	827632	https://www.ncbi.nlm.nih.gov/gene/?term=827632
842035	CSLE1	cellulose synthase like E1	842035	https://www.ncbi.nlm.nih.gov/gene/?term=842035
834321	RD21B	NA	834321	https://www.ncbi.nlm.nih.gov/gene/?term=834321
835504	OMT1	O-methyltransferase 1	835504	https://www.ncbi.nlm.nih.gov/gene/?term=835504
828970	CRU3	cruciferin 3	828970	https://www.ncbi.nlm.nih.gov/gene/?term=828970
828853	PORB	protochlorophyllide oxidoreductase B	828853	https://www.ncbi.nlm.nih.gov/gene/?term=828853
841926	AT1G54870	NA	841926	https://www.ncbi.nlm.nih.gov/gene/?term=841926
816700	RD2	NA	816700	https://www.ncbi.nlm.nih.gov/gene/?term=816700
824861	CRD1	dicarboxylate diiron protein, putative (Crd1)	824861	https://www.ncbi.nlm.nih.gov/gene/?term=824861
843628	HTH	NA	843628	https://www.ncbi.nlm.nih.gov/gene/?term=843628
836304	AT5G61820	stress up-regulated Nod 19 protein	836304	https://www.ncbi.nlm.nih.gov/gene/?term=836304
844001	OPR1	12-oxophytodienoate reductase 1	844001	https://www.ncbi.nlm.nih.gov/gene/?term=844001
838289	GSTU25	glutathione S-transferase TAU 25	838289	https://www.ncbi.nlm.nih.gov/gene/?term=838289
824510	PIP2A	plasma membrane intrinsic protein 2A	824510	https://www.ncbi.nlm.nih.gov/gene/?term=824510
828613	FSD1	Fe superoxide dismutase 1	828613	https://www.ncbi.nlm.nih.gov/gene/?term=828613
818558	RCA	rubisco activase	818558	https://www.ncbi.nlm.nih.gov/gene/?term=818558
821691	BGLU19	beta glucosidase 19	821691	https://www.ncbi.nlm.nih.gov/gene/?term=821691
837178	PSBP-1	photosystem II subunit P-1	837178	https://www.ncbi.nlm.nih.gov/gene/?term=837178
821112	LBD41	LOB domain-containing protein 41	821112	https://www.ncbi.nlm.nih.gov/gene/?term=821112
844245	PSBR	photosystem II subunit R	844245	https://www.ncbi.nlm.nih.gov/gene/?term=844245
835341	HSP90.1	heat shock-like protein	835341	https://www.ncbi.nlm.nih.gov/gene/?term=835341
843788	AT1G74470	NA	843788	https://www.ncbi.nlm.nih.gov/gene/?term=843788
830977	AT5G11090	NA	830977	https://www.ncbi.nlm.nih.gov/gene/?term=830977
843420	MLP28	MLP-like protein 28	843420	https://www.ncbi.nlm.nih.gov/gene/?term=843420
815247	XTH4	xyloglucan endotransglucosylase/hydrolase 4	815247	https://www.ncbi.nlm.nih.gov/gene/?term=815247
842811	AT1G65030	NA	842811	https://www.ncbi.nlm.nih.gov/gene/?term=842811
827956	PIP1;4	plasma membrane intrinsic protein 1;4	827956	https://www.ncbi.nlm.nih.gov/gene/?term=827956
818588	HSPRO2	ortholog of sugar beet HS1 PRO-1 2	818588	https://www.ncbi.nlm.nih.gov/gene/?term=818588
828511	AT4G24110	NADP-specific glutamate dehydrogenase	828511	https://www.ncbi.nlm.nih.gov/gene/?term=828511
841033	NPQ4	NA	841033	https://www.ncbi.nlm.nih.gov/gene/?term=841033
840895	GAPB	glyceraldehyde-3-phosphate dehydrogenase B subunit	840895	https://www.ncbi.nlm.nih.gov/gene/?term=840895
820165	AT3G10040	NA	820165	https://www.ncbi.nlm.nih.gov/gene/?term=820165
839235	PIP1C	plasma membrane intrinsic protein 1C	839235	https://www.ncbi.nlm.nih.gov/gene/?term=839235
843589	AT1G72570	NA	843589	https://www.ncbi.nlm.nih.gov/gene/?term=843589
831330	FDH	formate dehydrogenase	831330	https://www.ncbi.nlm.nih.gov/gene/?term=831330
819633	IAA16	indoleacetic acid-induced protein 16	819633	https://www.ncbi.nlm.nih.gov/gene/?term=819633
827996	PETC	photosynthetic electron transfer C	827996	https://www.ncbi.nlm.nih.gov/gene/?term=827996
819584	LTL1	Li-tolerant lipase 1	819584	https://www.ncbi.nlm.nih.gov/gene/?term=819584
833535	GS2	glutamine synthetase 2	833535	https://www.ncbi.nlm.nih.gov/gene/?term=833535
834635	AT5G45950	NA	834635	https://www.ncbi.nlm.nih.gov/gene/?term=834635
839871	CAB1	chlorophyll A/B binding protein 1	839871	https://www.ncbi.nlm.nih.gov/gene/?term=839871
825184	DIN2	NA	825184	https://www.ncbi.nlm.nih.gov/gene/?term=825184
