"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","Entrez","Description"
"1","AT3G21720",149901.825355755,-0.812523566184064,0.127629571712508,0.00123595155590084,0.00704141369231761,"ICL",821726,"isocitrate lyase(ICL)"
"2","AT3G09260",139182.865403553,-3.38832488118699,0.287605655516644,5.00549036858201e-26,3.39464875281379e-24,"BGLU23",820082,"Glycosyl hydrolase superfamily protein(PYK10)"
"3","AT5G17920",31417.7519227393,-1.18769810943424,0.247294981064078,0.000888833118159107,0.00524411539713873,"MS1",831660,"Cobalamin-independent synthase family protein(ATMS1)"
"4","AT1G54010",25396.2927655742,-2.64817571382651,0.169818745762162,1.35146862516295e-40,1.96602577020842e-38,"GLL23",841839,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G54010)"
"5","AT1G68560",18674.0933930692,1.46060490564166,0.194056417615694,2.33136946100003e-08,3.19862547287815e-07,"XYL1",843185,"alpha-xylosidase 1(XYL1)"
"6","AT4G12910",13618.2259272602,0.945254200668717,0.165212597045844,0.00083640724012082,0.00497329571762323,"SCPL20",826903,"serine carboxypeptidase-like 20(scpl20)"
"7","AT5G25460",13658.4475237859,1.20989676976206,0.152410509611234,7.57112755035682e-08,9.5932830935605e-07,"AT5G25460",832620,"transmembrane protein, putative (Protein of unknown function, DUF642)(DGR2)"
"8","AT3G16420",19363.7492311853,-3.5830103857474,0.215211580759019,4.25038657773278e-50,9.8780020746163e-48,"PBP1",820890,"PYK10-binding protein 1(PBP1)"
"9","AT1G67090",18922.7248962549,-1.75846974125116,0.19426861506218,1.27051403631024e-12,2.9817963041828e-11,"RBCS-1A",843029,"ribulose bisphosphate carboxylase small chain 1A(RBCS1A)"
"10","AT1G69530",11033.129283803,1.98541777252933,0.0960530638159893,1.14400823899817e-60,3.63356083509803e-58,"EXPA1",843288,"expansin A1(EXPA1)"
